TOKEN,LABEL,HEAD,HEAD_WORD,DEP_REL,POS,SUB_TOKENS,REL_GROUP
discovered,O,7,tried,advcl,VBD,,Adverbials
the,O,4,problems,det,DT,,Nominals
problems,O,2,discovered,dobj,NNS,,Objects
",",O,7,tried,punct,",",,Miscellaneous
we,O,7,tried,nsubj,PRP,,Subjects
tried,O,7,tried,ROOT,VBD,,ROOT
to,O,9,contact,aux,TO,,Auxiliaries
contact,O,7,tried,xcomp,VB,,Complements
apex,O,9,contact,dobj,NNP,,Objects
(,O,10,apex,punct,-LRB-,,Miscellaneous
fkor,O,10,apex,appos,NNP,fk ##or,Nominals
3,O,14,months,nummod,CD,,Nominals
months,O,12,fkor,npadvmod,NNS,,Noun
),O,7,tried,punct,-RRB-,,Miscellaneous
",",O,7,tried,punct,",",,Miscellaneous
but,O,7,tried,cc,CC,,Coordination
we,O,20,got,nsubj,PRP,,Subjects
never,O,20,got,neg,RB,,Negation
got,O,7,tried,conj,VBD,,Coordination
in,O,20,got,prep,IN,,Coordination
touch,O,21,in,pobj,NN,,Prepositions
with,O,22,touch,prep,IN,,Coordination
them.the,O,28,number,det,DT,them . the,Nominals
customer,B-ASP,26,support,compound,NN,,Compund
support,I-ASP,28,number,compound,NN,,Compund
telephone,I-ASP,28,number,compound,NN,,Compund
number,I-ASP,23,with,pobj,NN,,Prepositions
is,O,20,got,conj,VBZ,,Coordination
always,O,29,is,advmod,RB,,Adverbials
busy,B-OP,29,is,acomp,JJ,,Complements
",",O,20,got,punct,",",,Miscellaneous
and,O,20,got,cc,CC,,Coordination
they,O,37,answer,nsubj,PRP,,Subjects
do,O,37,answer,aux,VBP,,Auxiliaries
not,O,37,answer,neg,RB,,Negation
answer,O,20,got,conj,VB,,Coordination
their,O,41,support,poss,PRP$,,Nominals
web,O,40,customer,compound,NN,,Compund
customer,O,41,support,compound,NN,,Compund
support,O,37,answer,dobj,NN,,Objects
.,O,20,got,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
i,O,3,known,nsubj,PRP,,Subjects
have,O,3,known,aux,VBP,,Auxiliaries
always,O,3,known,advmod,RB,,Adverbials
known,O,3,known,ROOT,VBN,,ROOT
nokia,O,3,known,dobj,NNP,,Objects
to,O,6,provide,aux,TO,,Auxiliaries
provide,O,3,known,xcomp,VB,,Complements
me,O,6,provide,dobj,PRP,,Objects
with,O,6,provide,prep,IN,,Coordination
good,O,10,games,amod,JJ,,Nominals
games,O,8,with,pobj,NNS,,Prepositions
on,O,10,games,prep,IN,,Coordination
their,O,13,phones,poss,PRP$,,Nominals
phones,O,11,on,pobj,NNS,,Prepositions
.,O,3,known,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
that,O,1,makes,nsubj,DT,,Subjects
makes,O,1,makes,ROOT,VBZ,,ROOT
sense,O,1,makes,dobj,NN,,Objects
though,O,1,makes,advmod,RB,,Adverbials
",",O,1,makes,punct,",",,Miscellaneous
with,O,1,makes,prep,IN,,Coordination
all,O,9,products,predet,PDT,,Nominals
the,O,9,products,det,DT,,Nominals
substandard,O,9,products,amod,JJ,sub ##stand ##ard,Nominals
products,O,5,with,pobj,NNS,,Prepositions
they,O,11,make,nsubj,PRP,,Subjects
make,O,9,products,relcl,VBP,,Nominals
.,O,1,makes,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
you,O,1,should,nsubj,PRP,,Subjects
should,O,1,should,ROOT,MD,,ROOT
too,O,1,should,advmod,RB,,Adverbials
.,O,1,should,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
and,O,0,and,ROOT,CC,,ROOT
while,O,3,is,mark,IN,,Compund
it,O,3,is,nsubj,PRP,,Subjects
is,O,0,and,advcl,VBZ,,Adverbials
cool,O,3,is,acomp,JJ,,Complements
and,O,4,cool,cc,CC,,Coordination
fun,O,4,cool,conj,JJ,,Coordination
and,O,3,is,cc,CC,,Coordination
has,O,3,is,conj,VBZ,,Coordination
no,O,12,costs,det,DT,,Nominals
film,O,11,processing,compound,NN,,Compund
processing,O,12,costs,compound,NN,,Compund
costs,O,8,has,dobj,NNS,,Objects
.,O,0,and,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
the,O,3,ipod,det,DT,,Nominals
20,O,2,gig,nummod,CD,,Nominals
gig,O,3,ipod,compound,NN,,Compund
ipod,O,5,goes,nsubj,NNP,,Subjects
still,O,5,goes,advmod,RB,,Adverbials
goes,O,5,goes,ROOT,VBZ,,ROOT
for,O,5,goes,prep,IN,,Coordination
just,O,10,400,advmod,RB,,Adverbials
under,O,10,400,quantmod,IN,,Miscellaneous
$,O,10,400,quantmod,$,,Miscellaneous
400,O,6,for,pobj,CD,,Prepositions
.,O,5,goes,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
+,O,2,was,cc,CC,,Coordination
screen,B-ASP,2,was,nsubj,NN,,Subjects
was,O,2,was,ROOT,VBD,,ROOT
good,B-OP,2,was,acomp,JJ,,Complements
",",O,2,was,punct,",",,Miscellaneous
easy,B-OP,2,was,acomp,JJ,,Complements
to,O,7,read,aux,TO,,Auxiliaries
read,B-ASP,5,easy,xcomp,VB,,Complements
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
otherwise,O,3,takes,advmod,RB,,Adverbials
",",O,3,takes,punct,",",,Miscellaneous
it,O,3,takes,nsubj,PRP,,Subjects
takes,O,10,is,ccomp,VBZ,,Complements
very,O,5,good,advmod,RB,,Adverbials
good,B-OP,6,pictures,amod,JJ,,Nominals
pictures,B-ASP,3,takes,dobj,NNS,,Objects
;,O,10,is,punct,:,,Miscellaneous
shutter,B-ASP,9,delay,compound,NN,,Compund
delay,I-ASP,10,is,nsubj,NN,,Subjects
is,O,10,is,ROOT,VBZ,,ROOT
n't,O,10,is,neg,RB,n ' t,Negation
so,O,13,bad,advmod,RB,,Adverbials
bad,B-OP,10,is,acomp,JJ,,Complements
either,O,10,is,advmod,RB,,Adverbials
.,O,10,is,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
it,O,1,is,nsubj,PRP,,Subjects
is,O,1,is,ROOT,VBZ,,ROOT
a,O,4,camera,det,DT,,Nominals
fantastic,B-OP,4,camera,amod,JJ,,Nominals
camera,B-ASP,1,is,attr,NN,,Objects
and,O,4,camera,cc,CC,,Coordination
well,B-OP,7,worth,advmod,RB,,Adverbials
worth,B-OP,4,camera,conj,JJ,,Coordination
the,O,9,price,det,DT,,Nominals
price,B-ASP,7,worth,npadvmod,NN,,Noun
.,O,1,is,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
-,O,4,life,punct,:,,Miscellaneous
very,O,2,long-lasting,advmod,RB,,Adverbials
long-lasting,B-OP,4,life,amod,JJ,long - lasting,Nominals
battery,B-ASP,4,life,compound,NN,,Compund
life,I-ASP,4,life,ROOT,NN,,ROOT
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
song,O,1,transfers,compound,NNP,,Compund
transfers,O,2,were,nsubj,NNS,,Subjects
were,O,2,were,ROOT,VBD,,ROOT
not,O,2,were,neg,RB,,Negation
an,O,5,issue,det,DT,,Nominals
issue,O,2,were,attr,NN,,Objects
.,O,2,were,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
i,O,1,use,nsubj,PRP,,Subjects
use,O,1,use,ROOT,VBP,,ROOT
it,O,1,use,dobj,PRP,,Objects
for,O,1,use,prep,IN,,Coordination
ripping,B-ASP,3,for,pcomp,VBG,,Prepositions
cds,I-ASP,4,ripping,dobj,NNS,,Objects
",",O,5,cds,punct,",",,Miscellaneous
which,O,9,does,dobj,WDT,,Objects
it,O,9,does,nsubj,PRP,,Subjects
does,O,1,use,advcl,VBZ,,Adverbials
a,O,13,job,det,DT,,Nominals
pretty,O,12,good,advmod,RB,,Adverbials
good,B-OP,13,job,amod,JJ,,Nominals
job,O,9,does,dobj,NN,,Objects
of,O,13,job,prep,IN,,Coordination
.,O,1,use,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
difficult,B-OP,1,navigation,amod,JJ,,Nominals
navigation,B-ASP,1,navigation,ROOT,NN,,ROOT
-,O,7,say,punct,:,,Miscellaneous
i,O,7,say,nsubj,PRP,,Subjects
wo,O,7,say,aux,MD,,Auxiliaries
n't,O,7,say,neg,RB,n ' t,Negation
necessarily,O,7,say,advmod,RB,,Adverbials
say,O,7,say,ROOT,VB,,ROOT
"""",O,9,difficult,punct,``,,Miscellaneous
difficult,B-OP,7,say,acomp,JJ,,Complements
",",O,7,say,punct,",",,Miscellaneous
"""",O,7,say,punct,'',,Miscellaneous
but,O,7,say,cc,CC,,Coordination
i,O,16,enjoy,nsubj,PRP,,Subjects
do,O,16,enjoy,aux,VBP,,Auxiliaries
n't,O,16,enjoy,neg,RB,n ' t,Negation
enjoy,B-OP,7,say,conj,VB,,Coordination
the,O,18,scrollwheel,det,DT,,Nominals
scrollwheel,B-ASP,16,enjoy,dobj,NN,scroll ##wheel,Objects
to,O,20,navigate,aux,TO,,Auxiliaries
navigate,O,18,scrollwheel,acl,VB,,Nominals
.,O,16,enjoy,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
charged,O,0,charged,ROOT,VBD,,ROOT
my,O,2,battery,poss,PRP$,,Nominals
battery,O,0,charged,dobj,NN,,Objects
.,O,0,charged,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
and,O,3,breaks,cc,CC,,Coordination
then,O,3,breaks,advmod,RB,,Adverbials
it,O,3,breaks,nsubj,PRP,,Subjects
breaks,O,3,breaks,ROOT,VBZ,,ROOT
.,O,3,breaks,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
a,O,1,card,det,DT,,Nominals
card,O,5,is,nsubj,NN,,Subjects
with,O,1,card,prep,IN,,Coordination
more,O,4,memory,amod,JJR,,Nominals
memory,O,2,with,pobj,NN,,Prepositions
is,O,5,is,ROOT,VBZ,,ROOT
a,O,7,must,det,DT,,Nominals
must,O,5,is,attr,NN,,Objects
.,O,5,is,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
my,O,1,story,poss,PRP$,,Nominals
story,O,3,based,nsubjpass,NN,,Subjects
is,O,3,based,auxpass,VBZ,,Auxiliaries
based,O,3,based,ROOT,VBN,,ROOT
on,O,3,based,prep,IN,,Coordination
personal,O,6,usage,amod,JJ,,Nominals
usage,O,4,on,pobj,NN,,Prepositions
.,O,3,based,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
the,O,3,camera,det,DT,,Nominals
compact,B-OP,3,camera,amod,JJ,,Nominals
digital,B-ASP,3,camera,amod,JJ,,Nominals
camera,I-ASP,4,is,nsubj,NN,,Subjects
is,O,4,is,ROOT,VBZ,,ROOT
especially,O,6,useful,advmod,RB,,Adverbials
useful,B-OP,4,is,acomp,JJ,,Complements
if,O,9,have,mark,IN,,Compund
you,O,9,have,nsubj,PRP,,Subjects
have,O,4,is,advcl,VBP,,Adverbials
little,O,11,children,amod,JJ,,Nominals
children,O,9,have,dobj,NNS,,Objects
around,O,9,have,advmod,RB,,Adverbials
and,O,17,take,cc,CC,,Coordination
you,O,17,take,nsubj,PRP,,Subjects
can,O,17,take,aux,MD,,Auxiliaries
always,O,17,take,advmod,RB,,Adverbials
take,O,17,take,ROOT,VB,,ROOT
the,O,19,camera,det,DT,,Nominals
camera,O,17,take,dobj,NN,,Objects
with,O,17,take,prep,IN,,Coordination
you,O,20,with,pobj,PRP,,Prepositions
and,O,17,take,cc,CC,,Coordination
take,O,17,take,conj,VB,,Coordination
many,O,25,pictures,amod,JJ,,Nominals
pictures,O,23,take,dobj,NNS,,Objects
of,O,25,pictures,prep,IN,,Coordination
them,O,26,of,pobj,PRP,,Prepositions
.,O,17,take,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
but,O,5,do,cc,CC,,Coordination
for,O,5,do,prep,IN,,Coordination
now,O,1,for,pcomp,RB,,Prepositions
this,O,5,do,nsubj,DT,,Subjects
will,O,5,do,aux,MD,,Auxiliaries
do,O,5,do,ROOT,VB,,ROOT
.,O,5,do,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
pros,O,14,modify,nsubj,NNS,pro ##s,Subjects
:,O,0,pros,punct,:,,Miscellaneous
huge,B-OP,4,capacity,amod,JJ,,Nominals
storage,B-ASP,4,capacity,compound,NN,,Compund
capacity,I-ASP,0,pros,appos,NN,,Nominals
for,O,4,capacity,prep,IN,,Coordination
the,O,7,price,det,DT,,Nominals
price,O,5,for,pobj,NN,,Prepositions
",",O,4,capacity,punct,",",,Miscellaneous
easy,B-OP,4,capacity,amod,JJ,,Nominals
to,O,11,navigate,aux,TO,,Auxiliaries
navigate,B-ASP,9,easy,xcomp,VB,,Complements
",",O,14,modify,punct,",",,Miscellaneous
can,O,14,modify,aux,MD,,Auxiliaries
modify,O,14,modify,ROOT,VB,,ROOT
existing,O,16,playlists,amod,VBG,,Nominals
playlists,B-ASP,14,modify,dobj,NNS,play ##lists,Objects
on,O,14,modify,prep,IN,,Coordination
the,O,19,fly,det,DT,,Nominals
fly,O,17,on,pobj,NN,,Prepositions
",",O,14,modify,punct,",",,Miscellaneous
has,O,14,modify,conj,VBZ,,Coordination
a,O,24,battery,det,DT,,Nominals
removable,B-OP,24,battery,amod,JJ,re ##movable,Nominals
battery,B-ASP,21,has,dobj,NN,,Objects
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
the,O,2,quality,det,DT,,Nominals
sound,B-ASP,2,quality,amod,JJ,,Nominals
quality,I-ASP,3,is,nsubj,NN,,Subjects
is,O,3,is,ROOT,VBZ,,ROOT
also,O,3,is,advmod,RB,,Adverbials
nice,B-OP,3,is,acomp,JJ,,Complements
...,O,3,is,punct,NFP,. . .,Miscellaneous
after,O,9,hooked,mark,IN,,Compund
i,O,9,hooked,nsubj,PRP,,Subjects
hooked,O,20,comes,advcl,VBD,,Adverbials
up,O,9,hooked,prt,RP,,Compund
my,O,13,headphones,poss,PRP$,,Nominals
sony,O,13,headphones,compound,NNP,,Compund
headphones,O,9,hooked,dobj,NNS,head ##phones,Objects
instead,O,15,of,advmod,RB,,Adverbials
of,O,13,headphones,cc,IN,,Coordination
those,O,18,earbuds,det,DT,,Nominals
factory,O,18,earbuds,compound,NN,,Compund
earbuds,O,13,headphones,conj,NNS,ear ##bu ##ds,Coordination
it,O,20,comes,nsubj,PRP,,Subjects
comes,O,20,comes,ROOT,VBZ,,ROOT
with,O,20,comes,prep,IN,,Coordination
.,O,20,comes,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
worth,O,0,worth,ROOT,JJ,,ROOT
every,O,2,penny,det,DT,,Nominals
penny,O,0,worth,npadvmod,NN,,Noun
!,O,0,worth,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
naturally,O,2,did,advmod,RB,,Adverbials
i,O,2,did,nsubj,PRP,,Subjects
did,O,2,did,ROOT,VBD,,ROOT
quite,O,5,bit,predet,PDT,,Nominals
a,O,5,bit,det,DT,,Nominals
bit,O,2,did,dobj,NN,,Objects
of,O,5,bit,prep,IN,,Coordination
review,O,6,of,pobj,NN,,Prepositions
before,O,2,did,prep,IN,,Coordination
purchasing,O,8,before,pcomp,VBG,,Prepositions
(,O,12,recomend,punct,-LRB-,,Miscellaneous
i,O,12,recomend,nsubj,PRP,,Subjects
recomend,O,9,purchasing,parataxis,VBP,rec ##ome ##nd,Miscellaneous
www.nomadness.net,O,12,recomend,dobj,NNP,www . no ##mad ##ness . net,Objects
),O,12,recomend,punct,-RRB-,,Miscellaneous
",",O,2,did,punct,",",,Miscellaneous
and,O,2,did,cc,CC,,Coordination
price-wise,B-ASP,19,are,advmod,NNP,price - wise,Adverbials
zens,I-ASP,19,are,nsubj,NNP,zen ##s,Subjects
are,O,2,did,conj,VBP,,Coordination
unbeatable,B-OP,19,are,acomp,JJ,un ##beat ##able,Complements
.,O,19,are,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
i,O,1,have,nsubj,PRP,,Subjects
have,O,1,have,ROOT,VBP,,ROOT
the,O,3,software,det,DT,,Nominals
software,B-ASP,4,working,nsubj,NN,,Subjects
working,O,1,have,ccomp,VBG,,Complements
fine,B-OP,4,working,advmod,RB,,Adverbials
now,O,4,working,advmod,RB,,Adverbials
and,O,4,working,cc,CC,,Coordination
the,O,10,player,det,DT,,Nominals
mp3,B-ASP,10,player,compound,NN,,Compund
player,I-ASP,11,is,nsubj,NN,,Subjects
is,O,4,working,conj,VBZ,,Coordination
fantastic,B-OP,11,is,acomp,JJ,,Complements
.,O,11,is,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
the,O,1,built,det,DT,,Nominals
built,O,5,is,nsubj,VBN,,Subjects
in,O,1,built,prep,IN,,Coordination
fm,B-ASP,4,radio,compound,NNP,,Compund
radio,I-ASP,2,in,pobj,NN,,Prepositions
is,O,5,is,ROOT,VBZ,,ROOT
excellent,B-OP,5,is,acomp,JJ,,Complements
for,O,5,is,prep,IN,,Coordination
people,O,7,for,pobj,NNS,,Prepositions
traveling,O,8,people,acl,VBG,,Nominals
by,O,9,traveling,prep,IN,,Coordination
public,O,12,transport,amod,JJ,,Nominals
transport,O,10,by,pobj,NN,,Prepositions
.,O,5,is,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
two,O,1,days,nummod,CD,,Nominals
days,O,2,later,npadvmod,NNS,,Noun
later,O,6,returned,advmod,RBR,,Adverbials
the,O,4,phone,det,DT,,Nominals
phone,O,6,returned,nsubjpass,NN,,Subjects
was,O,6,returned,auxpass,VBD,,Auxiliaries
returned,O,6,returned,ROOT,VBN,,ROOT
to,O,6,returned,prep,IN,,Coordination
me,O,7,to,pobj,PRP,,Prepositions
in,O,6,returned,prep,IN,,Coordination
complete,O,12,order,amod,JJ,,Nominals
working,O,12,order,compound,NN,,Compund
order,O,9,in,pobj,NN,,Prepositions
.,O,6,returned,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
i,O,2,had,nsubj,PRP,,Subjects
've,O,2,had,aux,VBP,' ve,Auxiliaries
had,O,11,regret,ccomp,VBN,,Complements
it,O,2,had,dobj,PRP,,Objects
for,O,2,had,prep,IN,,Coordination
a,O,6,week,det,DT,,Nominals
week,O,4,for,pobj,NN,,Prepositions
now,O,2,had,advmod,RB,,Adverbials
",",O,11,regret,punct,",",,Miscellaneous
do,O,11,regret,aux,VB,,Auxiliaries
n't,O,11,regret,neg,RB,n ' t,Negation
regret,O,11,regret,ROOT,VB,,ROOT
the,O,13,purchase,det,DT,,Nominals
purchase,O,11,regret,dobj,NN,,Objects
one,O,15,bit,nummod,CD,,Nominals
bit,O,11,regret,npadvmod,NN,,Noun
",",O,11,regret,punct,",",,Miscellaneous
and,O,11,regret,cc,CC,,Coordination
i,O,20,leave,nsubj,PRP,,Subjects
never,O,20,leave,neg,RB,,Negation
leave,O,11,regret,conj,VBP,,Coordination
home,O,20,leave,dobj,NN,,Objects
without,O,20,leave,prep,IN,,Coordination
it,O,22,without,pobj,PRP,,Prepositions
.,O,20,leave,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
software,B-ASP,4,is,dep,NN,,Miscellaneous
-,O,0,software,punct,:,,Miscellaneous
the,O,3,software,det,DT,,Nominals
software,B-ASP,4,is,nsubj,NN,,Subjects
is,O,4,is,ROOT,VBZ,,ROOT
crap,B-OP,4,is,acomp,JJ,,Complements
.,O,4,is,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
so,O,1,far,advmod,RB,,Adverbials
far,O,5,hooked,advmod,RB,,Adverbials
we,O,5,hooked,nsubj,PRP,,Subjects
have,O,5,hooked,aux,VBP,,Auxiliaries
only,O,5,hooked,advmod,RB,,Adverbials
hooked,O,5,hooked,ROOT,VBN,,ROOT
up,O,5,hooked,prt,RP,,Compund
one,O,5,hooked,dobj,CD,,Objects
of,O,7,one,prep,IN,,Coordination
them,O,8,of,pobj,PRP,,Prepositions
.,O,5,hooked,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
after,O,2,tries,mark,IN,,Compund
multilple,O,2,tries,nsubj,NNP,multi ##lp ##le,Subjects
tries,O,10,recognized,advcl,VBZ,,Adverbials
",",O,10,recognized,punct,",",,Miscellaneous
one,O,10,recognized,nsubjpass,CD,,Subjects
of,O,4,one,prep,IN,,Coordination
the,O,7,disks,det,DT,,Nominals
disks,O,5,of,pobj,NNS,,Prepositions
was,O,10,recognized,auxpass,VBD,,Auxiliaries
finally,O,10,recognized,advmod,RB,,Adverbials
recognized,O,10,recognized,ROOT,VBN,,ROOT
but,O,10,recognized,cc,CC,,Coordination
video,B-ASP,13,was,nsubj,NN,,Subjects
was,O,10,recognized,conj,VBD,,Coordination
poor,B-OP,13,was,acomp,JJ,,Complements
and,O,13,was,cc,CC,,Coordination
features,B-ASP,13,was,conj,VBZ,,Coordination
not,O,18,available,neg,RB,,Negation
available,B-OP,16,features,oprd,JJ,,Objects
.,O,13,was,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
in,O,5,create,prep,IN,,Coordination
addition,O,0,in,pobj,NN,,Prepositions
",",O,5,create,punct,",",,Miscellaneous
you,O,5,create,nsubj,PRP,,Subjects
can,O,5,create,aux,MD,,Auxiliaries
create,O,5,create,ROOT,VB,,ROOT
play,O,7,lists,compound,NN,,Compund
lists,O,5,create,dobj,NNS,,Objects
where,O,11,create,advmod,WRB,,Adverbials
you,O,11,create,nsubj,PRP,,Subjects
can,O,11,create,aux,MD,,Auxiliaries
create,O,7,lists,relcl,VB,,Nominals
the,O,13,equivalent,det,DT,,Nominals
equivalent,O,11,create,dobj,NN,,Objects
to,O,11,create,prep,IN,,Coordination
a,O,17,cd,det,DT,,Nominals
compilation,O,17,cd,compound,NN,,Compund
cd,O,14,to,pobj,NN,,Prepositions
right,O,19,on,advmod,NN,,Adverbials
on,O,17,cd,prep,IN,,Coordination
your,O,21,player,poss,PRP$,,Nominals
player,O,19,on,pobj,NN,,Prepositions
.,O,5,create,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
2,O,0,2,ROOT,LS,,ROOT
.,O,0,2,punct,.,,Miscellaneous
battery,B-ASP,3,life,compound,NN,,Compund
life,I-ASP,4,is,nsubj,NN,,Subjects
is,O,4,is,ROOT,VBZ,,ROOT
over,O,6,4.5,quantmod,IN,,Miscellaneous
4.5,O,7,hours,nummod,CD,4 . 5,Nominals
hours,O,4,is,attr,NNS,,Objects
",",O,4,is,punct,",",,Miscellaneous
compared,O,4,is,prep,VBN,,Coordination
to,O,9,compared,prep,IN,,Coordination
about,O,12,2.5,advmod,IN,,Adverbials
2.5,O,13,hours,nummod,CD,2 . 5,Nominals
hours,O,10,to,pobj,NNS,,Prepositions
for,O,13,hours,prep,IN,,Coordination
the,O,16,g2,det,DT,,Nominals
g2,O,14,for,pobj,NNP,g ##2,Prepositions
or,O,16,g2,cc,CC,,Coordination
the,O,20,hours,det,DT,,Nominals
2,O,20,hours,nummod,CD,,Nominals
hours,O,13,hours,conj,NNS,,Coordination
for,O,20,hours,prep,IN,,Coordination
most,O,23,nikons,amod,JJS,,Nominals
nikons,O,21,for,pobj,NNS,nik ##ons,Prepositions
.,O,4,is,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
unfortunately,O,6,offer,advmod,RB,,Adverbials
",",O,6,offer,punct,",",,Miscellaneous
the,O,3,6610,det,DT,,Nominals
6610,O,6,offer,nsubj,CD,66 ##10,Subjects
does,O,6,offer,aux,VBZ,,Auxiliaries
not,O,6,offer,neg,RB,,Negation
offer,O,6,offer,ROOT,VB,,ROOT
voice,B-ASP,6,offer,dobj,NN,,Objects
dialing,I-ASP,7,voice,acl,NN,dial ##ing,Nominals
like,O,8,dialing,prep,IN,,Coordination
my,O,12,phone,poss,PRP$,,Nominals
previous,O,12,phone,amod,JJ,,Nominals
phone,O,9,like,pobj,NN,,Prepositions
",",O,6,offer,punct,",",,Miscellaneous
but,O,6,offer,cc,CC,,Coordination
the,O,16,other,det,DT,,Nominals
other,O,17,features,nsubj,JJ,,Subjects
features,O,6,offer,conj,VBZ,,Coordination
it,O,19,packs,nsubj,PRP,,Subjects
packs,O,17,features,ccomp,VBZ,,Complements
outweighs,O,17,features,prep,NN,out ##weig ##hs,Coordination
this,O,22,shortcoming,det,DT,,Nominals
shortcoming,O,17,features,npadvmod,NN,short ##coming,Noun
